alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
this_week,,1,1,inverse,100,USD,1675411200000,BTC-USD,BTC-USD-230203,FUTURES,125,1674202200953,1,1000000,1000000,6000,6000,1000000,1000000,1,,,BTC,live,,0.1,BTC-USD
next_week,,1,1,inverse,100,USD,1676016000000,BTC-USD,BTC-USD-230210,FUTURES,125,1674807000261,1,1000000,1000000,6000,6000,1000000,1000000,1,,,BTC,live,,0.1,BTC-USD
quarter,,1,1,inverse,100,USD,1680249600000,BTC-USD,BTC-USD-230331,FUTURES,125,1663315800862,1,1000000,1000000,6000,6000,1000000,1000000,1,,,BTC,live,,0.1,BTC-USD
next_quarter,,1,1,inverse,100,USD,1688112000000,BTC-USD,BTC-USD-230630,FUTURES,125,1671178200487,1,1000000,1000000,6000,6000,1000000,1000000,1,,,BTC,live,,0.1,BTC-USD
this_week,,1,1,inverse,10,USD,1675411200000,ETH-USD,ETH-USD-230203,FUTURES,125,1674202200723,1,1000000,1000000,60000,60000,1000000,1000000,1,,,ETH,live,,0.01,ETH-USD
next_week,,1,1,inverse,10,USD,1676016000000,ETH-USD,ETH-USD-230210,FUTURES,125,1674807000499,1,1000000,1000000,60000,60000,1000000,1000000,1,,,ETH,live,,0.01,ETH-USD
quarter,,1,1,inverse,10,USD,1680249600000,ETH-USD,ETH-USD-230331,FUTURES,125,1663315800778,1,1000000,1000000,60000,60000,1000000,1000000,1,,,ETH,live,,0.01,ETH-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,ETH-USD,ETH-USD-230630,FUTURES,125,1671178200974,1,1000000,1000000,60000,60000,1000000,1000000,1,,,ETH,live,,0.01,ETH-USD
this_week,,1,1,inverse,10,USD,1675411200000,LTC-USD,LTC-USD-230203,FUTURES,75,1674202200735,1,1000000,1000000,60000,60000,1000000,1000000,1,,,LTC,live,,0.01,LTC-USD
next_week,,1,1,inverse,10,USD,1676016000000,LTC-USD,LTC-USD-230210,FUTURES,75,1674807000519,1,1000000,1000000,60000,60000,1000000,1000000,1,,,LTC,live,,0.01,LTC-USD
quarter,,1,1,inverse,10,USD,1680249600000,LTC-USD,LTC-USD-230331,FUTURES,75,1663315800309,1,1000000,1000000,60000,60000,1000000,1000000,1,,,LTC,live,,0.01,LTC-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,LTC-USD,LTC-USD-230630,FUTURES,75,1671178200736,1,1000000,1000000,60000,60000,1000000,1000000,1,,,LTC,live,,0.01,LTC-USD
this_week,,1,1,inverse,10,USD,1675411200000,DOT-USD,DOT-USD-230203,FUTURES,75,1674202200731,1,1000000,1000000,10000,10000,1000000,1000000,1,,,DOT,live,,0.001,DOT-USD
next_week,,1,1,inverse,10,USD,1676016000000,DOT-USD,DOT-USD-230210,FUTURES,75,1674807000578,1,1000000,1000000,10000,10000,1000000,1000000,1,,,DOT,live,,0.001,DOT-USD
quarter,,1,1,inverse,10,USD,1680249600000,DOT-USD,DOT-USD-230331,FUTURES,75,1663315800775,1,1000000,1000000,10000,10000,1000000,1000000,1,,,DOT,live,,0.001,DOT-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,DOT-USD,DOT-USD-230630,FUTURES,75,1671178200853,1,1000000,1000000,10000,10000,1000000,1000000,1,,,DOT,live,,0.001,DOT-USD
this_week,,1,1,inverse,10,USD,1675411200000,ADA-USD,ADA-USD-230203,FUTURES,75,1674202200721,1,1000000,1000000,10000,10000,1000000,1000000,1,,,ADA,live,,0.00001,ADA-USD
next_week,,1,1,inverse,10,USD,1676016000000,ADA-USD,ADA-USD-230210,FUTURES,75,1674807000583,1,1000000,1000000,10000,10000,1000000,1000000,1,,,ADA,live,,0.00001,ADA-USD
quarter,,1,1,inverse,10,USD,1680249600000,ADA-USD,ADA-USD-230331,FUTURES,75,1663315800485,1,1000000,1000000,10000,10000,1000000,1000000,1,,,ADA,live,,0.00001,ADA-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,ADA-USD,ADA-USD-230630,FUTURES,75,1671178200601,1,1000000,1000000,10000,10000,1000000,1000000,1,,,ADA,live,,0.00001,ADA-USD
this_week,,1,1,inverse,10,USD,1675411200000,BCH-USD,BCH-USD-230203,FUTURES,75,1674202200723,1,1000000,1000000,40000,40000,1000000,1000000,1,,,BCH,live,,0.01,BCH-USD
next_week,,1,1,inverse,10,USD,1676016000000,BCH-USD,BCH-USD-230210,FUTURES,75,1674807000852,1,1000000,1000000,40000,40000,1000000,1000000,1,,,BCH,live,,0.01,BCH-USD
quarter,,1,1,inverse,10,USD,1680249600000,BCH-USD,BCH-USD-230331,FUTURES,75,1663315800138,1,1000000,1000000,40000,40000,1000000,1000000,1,,,BCH,live,,0.01,BCH-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,BCH-USD,BCH-USD-230630,FUTURES,75,1671178200528,1,1000000,1000000,40000,40000,1000000,1000000,1,,,BCH,live,,0.01,BCH-USD
this_week,,1,1,inverse,10,USD,1675411200000,EOS-USD,EOS-USD-230203,FUTURES,75,1674202200573,1,1000000,1000000,40000,40000,1000000,1000000,1,,,EOS,live,,0.0001,EOS-USD
next_week,,1,1,inverse,10,USD,1676016000000,EOS-USD,EOS-USD-230210,FUTURES,75,1674807000353,1,1000000,1000000,40000,40000,1000000,1000000,1,,,EOS,live,,0.0001,EOS-USD
quarter,,1,1,inverse,10,USD,1680249600000,EOS-USD,EOS-USD-230331,FUTURES,75,1663315800333,1,1000000,1000000,40000,40000,1000000,1000000,1,,,EOS,live,,0.0001,EOS-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,EOS-USD,EOS-USD-230630,FUTURES,75,1671178200710,1,1000000,1000000,40000,40000,1000000,1000000,1,,,EOS,live,,0.0001,EOS-USD
this_week,,1,1,inverse,10,USD,1675411200000,ETC-USD,ETC-USD-230203,FUTURES,75,1674202200721,1,1000000,1000000,20000,20000,1000000,1000000,1,,,ETC,live,,0.001,ETC-USD
next_week,,1,1,inverse,10,USD,1676016000000,ETC-USD,ETC-USD-230210,FUTURES,75,1674807000951,1,1000000,1000000,20000,20000,1000000,1000000,1,,,ETC,live,,0.001,ETC-USD
quarter,,1,1,inverse,10,USD,1680249600000,ETC-USD,ETC-USD-230331,FUTURES,75,1663315800821,1,1000000,1000000,20000,20000,1000000,1000000,1,,,ETC,live,,0.001,ETC-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,ETC-USD,ETC-USD-230630,FUTURES,75,1671178200581,1,1000000,1000000,20000,20000,1000000,1000000,1,,,ETC,live,,0.001,ETC-USD
this_week,,1,1,inverse,10,USD,1675411200000,TRX-USD,TRX-USD-230203,FUTURES,75,1674202200742,1,1000000,1000000,19000,19000,1000000,1000000,1,,,TRX,live,,0.00001,TRX-USD
next_week,,1,1,inverse,10,USD,1676016000000,TRX-USD,TRX-USD-230210,FUTURES,75,1674807000778,1,1000000,1000000,19000,19000,1000000,1000000,1,,,TRX,live,,0.00001,TRX-USD
quarter,,1,1,inverse,10,USD,1680249600000,TRX-USD,TRX-USD-230331,FUTURES,75,1663315800266,1,1000000,1000000,19000,19000,1000000,1000000,1,,,TRX,live,,0.00001,TRX-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,TRX-USD,TRX-USD-230630,FUTURES,75,1671178200688,1,1000000,1000000,19000,19000,1000000,1000000,1,,,TRX,live,,0.00001,TRX-USD
this_week,,1,1,inverse,10,USD,1675411200000,XRP-USD,XRP-USD-230203,FUTURES,75,1674202200622,1,1000000,1000000,40000,40000,1000000,1000000,1,,,XRP,live,,0.00001,XRP-USD
next_week,,1,1,inverse,10,USD,1676016000000,XRP-USD,XRP-USD-230210,FUTURES,75,1674807000893,1,1000000,1000000,40000,40000,1000000,1000000,1,,,XRP,live,,0.00001,XRP-USD
quarter,,1,1,inverse,10,USD,1680249600000,XRP-USD,XRP-USD-230331,FUTURES,75,1663315800070,1,1000000,1000000,40000,40000,1000000,1000000,1,,,XRP,live,,0.00001,XRP-USD
next_quarter,,1,1,inverse,10,USD,1688112000000,XRP-USD,XRP-USD-230630,FUTURES,75,1671178200018,1,1000000,1000000,40000,40000,1000000,1000000,1,,,XRP,live,,0.00001,XRP-USD
this_week,,1,1,linear,0.01,BTC,1675411200000,BTC-USDT,BTC-USDT-230203,FUTURES,125,1674202200048,1,1000000,1000000,1000,1000,1000000,1000000,1,,,USDT,live,,0.1,BTC-USDT
next_week,,1,1,linear,0.01,BTC,1676016000000,BTC-USDT,BTC-USDT-230210,FUTURES,125,1674807000986,1,1000000,1000000,1000,1000,1000000,1000000,1,,,USDT,live,,0.1,BTC-USDT
quarter,,1,1,linear,0.01,BTC,1680249600000,BTC-USDT,BTC-USDT-230331,FUTURES,125,1663315800000,1,1000000,1000000,1000,1000,1000000,1000000,1,,,USDT,live,,0.1,BTC-USDT
next_quarter,,1,1,linear,0.01,BTC,1688112000000,BTC-USDT,BTC-USDT-230630,FUTURES,125,1671178200343,1,1000000,1000000,1000,1000,1000000,1000000,1,,,USDT,live,,0.1,BTC-USDT
this_week,,1,1,linear,0.1,ETH,1675411200000,ETH-USDT,ETH-USDT-230203,FUTURES,125,1674202200723,1,1000000,1000000,3000,3000,1000000,1000000,1,,,USDT,live,,0.01,ETH-USDT
next_week,,1,1,linear,0.1,ETH,1676016000000,ETH-USDT,ETH-USDT-230210,FUTURES,125,1674807000953,1,1000000,1000000,3000,3000,1000000,1000000,1,,,USDT,live,,0.01,ETH-USDT
quarter,,1,1,linear,0.1,ETH,1680249600000,ETH-USDT,ETH-USDT-230331,FUTURES,125,1663315800755,1,1000000,1000000,3000,3000,1000000,1000000,1,,,USDT,live,,0.01,ETH-USDT
next_quarter,,1,1,linear,0.1,ETH,1688112000000,ETH-USDT,ETH-USDT-230630,FUTURES,125,1671178200015,1,1000000,1000000,3000,3000,1000000,1000000,1,,,USDT,live,,0.01,ETH-USDT
this_week,,1,1,linear,1,LTC,1675411200000,LTC-USDT,LTC-USDT-230203,FUTURES,75,1674202200586,1,1000000,1000000,3500,3500,1000000,1000000,1,,,USDT,live,,0.01,LTC-USDT
next_week,,1,1,linear,1,LTC,1676016000000,LTC-USDT,LTC-USDT-230210,FUTURES,75,1674807000063,1,1000000,1000000,3500,3500,1000000,1000000,1,,,USDT,live,,0.01,LTC-USDT
quarter,,1,1,linear,1,LTC,1680249600000,LTC-USDT,LTC-USDT-230331,FUTURES,75,1663315800911,1,1000000,1000000,3500,3500,1000000,1000000,1,,,USDT,live,,0.01,LTC-USDT
next_quarter,,1,1,linear,1,LTC,1688112000000,LTC-USDT,LTC-USDT-230630,FUTURES,75,1671178200002,1,1000000,1000000,3500,3500,1000000,1000000,1,,,USDT,live,,0.01,LTC-USDT
this_week,,1,1,linear,1,DOT,1675411200000,DOT-USDT,DOT-USDT-230203,FUTURES,75,1674202200872,1,1000000,1000000,7500,7500,1000000,1000000,1,,,USDT,live,,0.001,DOT-USDT
next_week,,1,1,linear,1,DOT,1676016000000,DOT-USDT,DOT-USDT-230210,FUTURES,75,1674807000226,1,1000000,1000000,7500,7500,1000000,1000000,1,,,USDT,live,,0.001,DOT-USDT
quarter,,1,1,linear,1,DOT,1680249600000,DOT-USDT,DOT-USDT-230331,FUTURES,75,1663315800504,1,1000000,1000000,7500,7500,1000000,1000000,1,,,USDT,live,,0.001,DOT-USDT
next_quarter,,1,1,linear,1,DOT,1688112000000,DOT-USDT,DOT-USDT-230630,FUTURES,75,1671178200919,1,1000000,1000000,7500,7500,1000000,1000000,1,,,USDT,live,,0.001,DOT-USDT
this_week,,1,1,linear,100,ADA,1675411200000,ADA-USDT,ADA-USDT-230203,FUTURES,75,1674202200721,1,1000000,1000000,1800,1800,1000000,1000000,1,,,USDT,live,,0.00001,ADA-USDT
next_week,,1,1,linear,100,ADA,1676016000000,ADA-USDT,ADA-USDT-230210,FUTURES,75,1674807000998,1,1000000,1000000,1800,1800,1000000,1000000,1,,,USDT,live,,0.00001,ADA-USDT
quarter,,1,1,linear,100,ADA,1680249600000,ADA-USDT,ADA-USDT-230331,FUTURES,75,1663315800781,1,1000000,1000000,1800,1800,1000000,1000000,1,,,USDT,live,,0.00001,ADA-USDT
next_quarter,,1,1,linear,100,ADA,1688112000000,ADA-USDT,ADA-USDT-230630,FUTURES,75,1671178200023,1,1000000,1000000,1800,1800,1000000,1000000,1,,,USDT,live,,0.00001,ADA-USDT
this_week,,1,1,linear,0.1,BCH,1675411200000,BCH-USDT,BCH-USDT-230203,FUTURES,75,1674202200721,1,1000000,1000000,5500,5500,1000000,1000000,1,,,USDT,live,,0.01,BCH-USDT
