alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,BTC,1,,,,,,,BTC-USDT,MARGIN,10,1548133413000,0.00000001,9999999999,9999999999,1000000,1000000,9999999999,9999999999,0.00001,,USDT,,live,,0.1,
,ETH,1,,,,,,,ETH-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDT,,live,,0.01,
,OKB,1,,,,,,,OKB-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,LTC,1,,,,,,,LTC-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,DOT,1,,,,,,,DOT-USDT,MARGIN,10,1598061640000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,DOGE,1,,,,,,,DOGE-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,SOL,1,,,,,,,SOL-USDT,MARGIN,5,1601431200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.001,
,DYDX,1,,,,,,,DYDX-USDT,MARGIN,5,1631096475000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,APT,1,,,,,,,APT-USDT,MARGIN,5,1666141200000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.0001,
,MASK,1,,,,,,,MASK-USDT,MARGIN,5,1614152521000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,FIL,1,,,,,,,FIL-USDT,MARGIN,5,1606946433000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.001,
,1INCH,1,,,,,,,1INCH-USDT,MARGIN,5,1608830100000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.0001,
,AAVE,1,,,,,,,AAVE-USDT,MARGIN,5,1603317639000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,ADA,1,,,,,,,ADA-USDT,MARGIN,10,1548133413000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.00001,
