alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,BTC,1,,,,,,,BTC-USDT,SPOT,10,1548133413000,0.00000001,9999999999,9999999999,1000000,1000000,9999999999,9999999999,0.00001,,USDT,,live,,0.1,
,ETH,1,,,,,,,ETH-USDT,SPOT,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDT,,live,,0.01,
,OKB,1,,,,,,,OKB-USDT,SPOT,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,OKT,1,,,,,,,OKT-USDT,SPOT,,1611012701000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,LTC,1,,,,,,,LTC-USDT,SPOT,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,DOT,1,,,,,,,DOT-USDT,SPOT,10,1598061640000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,DOGE,1,,,,,,,DOGE-USDT,SPOT,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,SOL,1,,,,,,,SOL-USDT,SPOT,5,1601431200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.001,
,MASK,1,,,,,,,MASK-USDT,SPOT,5,1614152521000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,APT,1,,,,,,,APT-USDT,SPOT,5,1666141200000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.0001,
,DYDX,1,,,,,,,DYDX-USDT,SPOT,5,1631096475000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,FIL,1,,,,,,,FIL-USDT,SPOT,5,1606946433000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.001,
,1INCH,1,,,,,,,1INCH-USDT,SPOT,5,1608830100000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.0001,
,AAVE,1,,,,,,,AAVE-USDT,SPOT,5,1603317639000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,ABT,1,,,,,,,ABT-USDT,SPOT,,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
,ACA,1,,,,,,,ACA-USDT,SPOT,,1643100129000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,ADA,1,,,,,,,ADA-USDT,SPOT,10,1548133413000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.00001,
,AERGO,1,,,,,,,AERGO-USDT,SPOT,,1595456951000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
,AGLD,1,,,,,,,AGLD-USDT,SPOT,5,1630654581000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,AKITA,1,,,,,,,AKITA-USDT,SPOT,5,1620979264000,1,9999999999999999,9999999999999999,1000000,1000000,9999999999999999,9999999999999999,1000000,,USDT,,live,,0.0000000001,
,ALCX,1,,,,,,,ALCX-USDT,SPOT,,1637910537000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.1,
,ALGO,1,,,,,,,ALGO-USDT,SPOT,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,ALPHA,1,,,,,,,ALPHA-USDT,SPOT,5,1614834000000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,ANC,1,,,,,,,ANC-USDT,SPOT,,1615950000000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.0001,
,ANT,1,,,,,,,ANT-USDT,SPOT,5,1597255081000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,ANW,1,,,,,,,ANW-USDT,SPOT,,1600999200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,APE,1,,,,,,,APE-USDT,SPOT,5,1647508809000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,APIX,1,,,,,,,APIX-USDT,SPOT,,1594261802000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,API3,1,,,,,,,API3-USDT,SPOT,5,1607464841000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,APM,1,,,,,,,APM-USDT,SPOT,,1582320712000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,100,,USDT,,live,,0.00001,
,AR,1,,,,,,,AR-USDT,SPOT,,1640315756000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.01,
,ARG,1,,,,,,,ARG-USDT,SPOT,,1663915767000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.0001,
,ARK,1,,,,,,,ARK-USDT,SPOT,,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,AST,1,,,,,,,AST-USDT,SPOT,,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,ASTR,1,,,,,,,ASTR-USDT,SPOT,,1642405602000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
